fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location
1a6e7e7c98886198,Patrick Cote,9fa3bd637edd9aa2,Kyle Noke,7339d340aa2889cb,Patrick Cote,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"April 16, 2014","Quebec City, Quebec, Canada"
7767149280471f2a,Daniel Sarafian,7e47047d0971d566,Kiichi Kunimoto,71df36d6d8cf0d74,Kiichi Kunimoto,Submission,1,2:52,3 Rnd (5-5-5),Welterweight Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
db747a157e1f264b,Ovince Saint Preux,50db8711c70196cd,Ryan Jimmo,bc3ec52ef70fc155,Ovince Saint Preux,KO/TKO,2,2:10,3 Rnd (5-5-5),Light Heavyweight Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
3a5b53d1123d9f7e,Michael Bisping,2b93ebd9f5417ad2,Tim Kennedy,3c660c90d48fc80d,Tim Kennedy,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Middleweight Bout,"April 16, 2014","Quebec City, Quebec, Canada"
de65739f00350c58,Rory MacDonald,cbd5d3cdd862e90e,Tyron Woodley,effd9de9937996f8,Rory MacDonald,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
933660cfab154f1a,Demetrious Johnson,8a304bfd6bf04a57,Ali Bagautinov,3dd92ff9fb0412b3,Demetrious Johnson,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),UFC Flyweight Title Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
b72c19b80fb47ba4,Ryan Bader,c0ab242c40decc55,Rafael Feijao,5c1ca0c72b599a3c,Ryan Bader,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
f3ebce624bb154ae,Andrei Arlovski,3738e68d2261e60f,Brendan Schaub,89a407032911e27e,Andrei Arlovski,Decision - Split,3,5:00,3 Rnd (5-5-5),Heavyweight Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
23861a2085ea34a3,Takanori Gomi,3be081c29bf734d9,Isaac Vallie-Flagg,c295de4e10acd4c9,Takanori Gomi,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"April 26, 2014","Baltimore, Maryland, USA"
553a788a44b8e794,Joseph Benavidez,80eacd4da0617c57,Tim Elliott,c96d9178c9ed9e62,Joseph Benavidez,Submission,1,4:08,3 Rnd (5-5-5),Flyweight Bout,"April 26, 2014","Baltimore, Maryland, USA"
9b10db4499b211b7,Luke Rockhold,00e11b5c8b7bfeeb,Tim Boetsch,c80095f6092271a7,Luke Rockhold,Submission,1,2:08,3 Rnd (5-5-5),Middleweight Bout,"April 26, 2014","Baltimore, Maryland, USA"
5b0cc074c657ebd4,Max Holloway,150ff4cc642270b9,Andre Fili,8fd808923cffff82,Max Holloway,Submission,3,3:39,3 Rnd (5-5-5),Featherweight Bout,"April 26, 2014","Baltimore, Maryland, USA"
484cf23d5110ca04,Jim Miller,d1941565abf50b16,Yancy Medeiros,813550bc53b15fb0,Jim Miller,Submission,1,3:18,3 Rnd (5-5-5),Lightweight Bout,"April 26, 2014","Baltimore, Maryland, USA"
0c2a634606639d71,Patrick Cummins,e51e5cb722bd47a8,Roger Narvaez,3a12a2f096a6d975,Patrick Cummins,KO/TKO,2,2:28,3 Rnd (5-5-5),Light Heavyweight Bout,"June 07, 2014","Albuquerque, New Mexico, USA"
5eb07bffdc8b7acf,Jon Tuck,53ec9cb470e1a4ea,Jake Lindsey,33e00249ef08d3a4,Jon Tuck,KO/TKO,3,2:47,3 Rnd (5-5-5),Lightweight Bout,"June 07, 2014","Albuquerque, New Mexico, USA"
9a1d57966d8a17a4,Phil Davis,902ab9197b83d0db,Anthony Johnson,365fee2da473b177,Anthony Johnson,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,"April 26, 2014","Baltimore, Maryland, USA"
e332aec001b34f50,Jon Jones,07f72a2a7591b409,Glover Teixeira,7ff97850e8c32bda,Jon Jones,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),UFC Light Heavyweight Title Bout,"April 26, 2014","Baltimore, Maryland, USA"
d02ac0447fb2a7a0,Scott Jorgensen,0b64d0fed453ef7f,Danny Martinez,8a9c6c4301f6d088,Scott Jorgensen,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Flyweight Bout,"June 07, 2014","Albuquerque, New Mexico, USA"
410e3163827d6d3b,Erik Perez,af62f99eb7606308,Bryan Caraway,5ef0088c1b19beeb,Bryan Caraway,Submission,2,1:52,3 Rnd (5-5-5),Bantamweight Bout,"June 07, 2014","Albuquerque, New Mexico, USA"
6ff8fff0fe2a3cd9,Yves Edwards,5f04e3d58d9ce982,Piotr Hallmann,a3be148af5c7b088,Piotr Hallmann,Submission,3,2:31,3 Rnd (5-5-5),Lightweight Bout,"June 07, 2014","Albuquerque, New Mexico, USA"
6597b770486021b8,Bobby Voelker,fb8a3025ae722e64,Lance Benoist,5431dccc09118234,Lance Benoist,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"June 07, 2014","Albuquerque, New Mexico, USA"
6eee347f75f223f0,Yaotzin Meza,3623bd267a2eef2e,Sergio Pettis,de75d1c45a39e221,Sergio Pettis,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"June 07, 2014","Albuquerque, New Mexico, USA"
